iter	F1	Logloss
0	0.768929251	0.6554129561
1	0.7873943882	0.6236063964
2	0.7872924076	0.5989931599
3	0.7885827249	0.5794991373
4	0.7889980494	0.5630554251
5	0.7899771914	0.5490010254
6	0.7905263468	0.5378493394
7	0.7903956525	0.5281900359
8	0.7901144676	0.5203865886
9	0.7906987473	0.5135186028
10	0.7909154938	0.5078482542
11	0.7912006559	0.5028290764
12	0.7912299017	0.4988186834
13	0.7921817893	0.4952392812
14	0.7932195809	0.4921250145
15	0.7938902694	0.4891867191
16	0.7945687618	0.4867843881
17	0.7950011938	0.4846788963
18	0.7954438542	0.4824697958
19	0.7954715475	0.4805532414
20	0.7957876562	0.4788129284
21	0.7960538611	0.4774223811
22	0.796231117	0.4758085892
23	0.7966710695	0.4747054614
24	0.7973645307	0.4732362468
25	0.7976290605	0.4721178653
26	0.7978732517	0.4712717833
27	0.7981152722	0.4702660452
28	0.7984079183	0.4693826847
29	0.7984455292	0.4685430678
30	0.7990897254	0.4676842063
31	0.7992224682	0.4668298337
32	0.7994545289	0.4660404363
33	0.7994081993	0.4654392784
34	0.7995641106	0.4647109716
35	0.7993206095	0.4639112572
36	0.799626301	0.4632105761
37	0.7996778351	0.4626957245
38	0.7996234229	0.462197298
39	0.8000624396	0.4615404223
40	0.8002483172	0.4609809115
41	0.8003613606	0.4605317036
42	0.8004263204	0.4600777732
43	0.8007076869	0.4596885802
44	0.8005905681	0.4592870029
45	0.8007011793	0.4589051362
46	0.8007938595	0.4585765899
47	0.800770986	0.4581608611
48	0.8010718588	0.4577282788
49	0.8013526188	0.4572547635
50	0.8012235698	0.4569418715
51	0.8012672987	0.4566450351
52	0.8013520802	0.4563599758
53	0.8013592724	0.4561190667
54	0.8016498566	0.4556108775
55	0.8015449373	0.4553088971
56	0.801741297	0.4550149619
57	0.8017804592	0.4548161834
58	0.8020298729	0.454497104
59	0.8020148395	0.4540860875
60	0.8022027914	0.4538791634
61	0.8024289534	0.4536255717
62	0.8022183989	0.4533744516
63	0.8022675523	0.453144169
64	0.8023163666	0.4529090779
65	0.8023786914	0.4527680833
66	0.8026266133	0.4525842951
67	0.8028166958	0.4524233806
68	0.8027555056	0.4521881169
69	0.8028478577	0.4519622858
70	0.8028472429	0.4516668942
71	0.8029371662	0.4514584279
72	0.8029346891	0.4512796519
73	0.8031669707	0.4511374724
74	0.803082099	0.4509515704
75	0.8033256169	0.4507724463
76	0.8035588024	0.4505664942
77	0.8034169	0.4504413848
78	0.8035054564	0.4502952324
79	0.8035980471	0.4501668827
80	0.8037842066	0.4499994501
81	0.8037309645	0.4498295314
82	0.8039191115	0.4497087973
83	0.8039262309	0.4495068401
84	0.8041207905	0.449360752
85	0.8040868782	0.4491682508
86	0.8041243125	0.4490499252
87	0.8040442229	0.4489416176
88	0.8041302489	0.4487852543
89	0.8041997938	0.4486346467
90	0.8043138103	0.4484066158
91	0.8043772905	0.4481675044
92	0.804448349	0.448058446
93	0.8044413535	0.4479530873
94	0.8045937851	0.4478355257
95	0.8045658496	0.4477308397
96	0.8046618081	0.4475125078
97	0.8046034609	0.4473454727
98	0.8047744387	0.447164153
99	0.8047919399	0.4470420143
100	0.8049612676	0.4469429867
101	0.8048102799	0.4468580678
102	0.8048475215	0.4466955697
103	0.8048993601	0.4465647725
104	0.8050094726	0.4463929711
105	0.8048610299	0.4463014738
106	0.8049733699	0.4461741458
107	0.8051371989	0.4460378606
108	0.8051642098	0.4458900681
109	0.8051264244	0.4457607336
110	0.805234151	0.445626815
111	0.8052753374	0.4455284736
112	0.8052358277	0.4454129346
113	0.8052993417	0.4452872543
114	0.8053813362	0.4452007448
115	0.805444867	0.4451088543
116	0.8055512894	0.4449297835
117	0.8054358562	0.4448379691
118	0.8054367183	0.4447406576
119	0.8054298424	0.4446566194
120	0.805570648	0.4445523783
121	0.8055041365	0.4444375117
122	0.805629943	0.4443103713
123	0.805706826	0.44421744
124	0.8056776417	0.4440953732
125	0.8056716145	0.4439903346
126	0.8057090103	0.4439080203
127	0.8057503544	0.4438195443
128	0.8058771068	0.4436643081
129	0.8057684566	0.4435873472
130	0.8058523177	0.4434917772
131	0.8059503631	0.4433802117
132	0.8060147984	0.4432561019
133	0.806029838	0.4431609062
134	0.806089996	0.4431010959
135	0.8062520579	0.4429826999
136	0.8063497135	0.4429036363
137	0.8062347617	0.4428139957
138	0.8063286373	0.4427151428
139	0.8062812463	0.4426075238
140	0.8063522134	0.4425211491
141	0.8063771404	0.4424398777
142	0.8064584443	0.4423248952
143	0.806574561	0.4422538063
144	0.8065424848	0.4421790857
145	0.8065753176	0.4421075582
146	0.8065061395	0.4419943877
147	0.8065639113	0.4418864582
148	0.8066607748	0.4418103926
149	0.8067693731	0.4417190226
150	0.8069345226	0.4415943801
151	0.8067881129	0.4415179405
152	0.806856292	0.44142233
153	0.806884014	0.4413402912
154	0.8068269961	0.4412629074
155	0.8069686789	0.4411714184
156	0.8069691435	0.4410905435
157	0.8070294029	0.4409909687
158	0.807079774	0.4408959952
159	0.8071795784	0.4408085095
160	0.80714331	0.4406689489
161	0.8072148733	0.4405727583
162	0.8072581917	0.4404743139
163	0.8072181726	0.4403818288
164	0.8072887945	0.4402819535
165	0.8074253348	0.4401711922
166	0.8075911332	0.4400620213
167	0.8076014979	0.4399587748
168	0.8077022773	0.4398429458
169	0.8076561118	0.439747355
170	0.8077258946	0.4396717167
171	0.8077451874	0.4395699712
172	0.8077254138	0.4395039469
173	0.8076472711	0.4394118537
174	0.8077532596	0.4393236336
175	0.8078602172	0.4392271636
176	0.8077858152	0.4391432075
177	0.8078994256	0.4390437578
178	0.8080351039	0.4389651835
179	0.8080741647	0.4388547551
180	0.8082192244	0.4387052527
181	0.808247626	0.4386393843
182	0.8081798905	0.4385568954
183	0.8083716888	0.4384534714
184	0.8084319966	0.4383441681
185	0.8083956617	0.4382532743
186	0.8085021887	0.4381826453
187	0.8085021887	0.4380997133
188	0.8085770712	0.4380084296
189	0.8086289908	0.4379271946
