iter	Passed	Remaining
0	16	16911
1	32	16284
2	45	15077
3	56	14127
4	71	14163
5	87	14499
6	106	15073
7	125	15542
8	144	15860
9	162	16053
10	177	15975
11	188	15547
12	197	14959
13	203	14317
14	208	13706
15	213	13140
16	218	12651
17	224	12253
18	229	11851
19	234	11514
20	240	11205
21	245	10919
22	251	10668
23	256	10423
24	261	10199
25	266	9996
26	271	9788
27	276	9606
28	282	9447
29	286	9275
30	292	9132
31	297	8999
32	302	8878
33	307	8750
34	313	8635
35	318	8529
36	323	8432
37	329	8347
38	335	8270
39	341	8187
40	346	8112
41	352	8039
42	358	7976
43	364	7910
44	369	7846
45	375	7781
46	381	7731
47	387	7682
48	393	7630
49	398	7580
50	404	7531
51	410	7487
52	416	7444
53	422	7401
54	428	7353
55	433	7313
56	439	7267
57	445	7231
58	450	7188
59	456	7146
60	461	7110
61	467	7069
62	472	7025
63	478	6990
64	483	6958
65	489	6924
66	494	6890
67	500	6863
68	506	6834
69	512	6803
70	517	6776
71	523	6751
72	529	6726
73	535	6697
74	540	6670
75	546	6646
76	552	6625
77	558	6601
78	564	6584
79	569	6554
80	575	6530
81	581	6506
82	587	6487
83	592	6465
84	598	6447
85	604	6424
86	609	6399
87	614	6372
88	620	6350
89	625	6323
90	630	6300
91	635	6274
92	640	6249
93	646	6226
94	651	6204
95	656	6182
96	661	6162
97	667	6141
98	672	6118
99	677	6101
100	683	6081
101	688	6065
102	694	6047
103	699	6030
104	704	6008
105	710	5990
106	715	5970
107	720	5953
108	725	5933
109	731	5914
110	736	5897
111	741	5880
112	746	5862
113	752	5847
114	757	5828
115	762	5811
116	768	5798
117	773	5783
118	779	5767
119	784	5749
120	789	5733
121	794	5720
122	800	5706
123	805	5693
124	811	5679
125	816	5665
126	821	5649
127	827	5635
128	832	5621
129	837	5606
130	843	5593
131	848	5579
132	853	5566
133	859	5554
134	864	5539
135	869	5526
136	875	5513
137	880	5499
138	886	5489
139	891	5478
140	897	5465
141	902	5455
142	908	5445
143	914	5434
144	919	5423
145	925	5410
146	930	5398
147	935	5387
148	940	5373
149	946	5360
150	950	5346
151	956	5334
152	961	5322
153	966	5309
154	971	5298
155	977	5286
156	982	5274
157	987	5263
158	992	5251
159	997	5239
160	1003	5228
161	1008	5216
162	1013	5204
163	1018	5193
164	1024	5183
165	1029	5173
166	1035	5163
167	1040	5152
168	1045	5142
169	1050	5130
170	1055	5118
171	1061	5107
172	1065	5095
173	1070	5083
174	1076	5073
175	1081	5062
176	1086	5052
177	1091	5042
178	1097	5031
179	1102	5020
180	1107	5010
181	1112	5000
182	1117	4989
183	1122	4979
184	1128	4970
185	1133	4960
186	1138	4950
187	1143	4940
188	1148	4930
189	1154	4920
190	1159	4910
191	1164	4900
192	1169	4890
193	1175	4881
194	1180	4874
195	1185	4864
196	1191	4855
197	1196	4846
198	1202	4838
199	1207	4828
200	1212	4820
201	1218	4812
202	1223	4802
203	1228	4791
204	1233	4784
205	1239	4776
206	1244	4767
207	1250	4760
208	1255	4752
209	1260	4743
210	1266	4734
211	1271	4726
212	1276	4716
213	1282	4708
214	1286	4698
215	1292	4689
216	1297	4680
217	1302	4672
218	1307	4662
219	1312	4654
220	1317	4645
221	1323	4638
222	1329	4631
223	1334	4623
224	1339	4613
225	1344	4604
226	1349	4595
227	1354	4587
228	1359	4577
229	1365	4570
230	1370	4560
231	1375	4552
232	1380	4545
233	1386	4538
234	1392	4533
235	1398	4526
236	1403	4517
237	1408	4508
238	1413	4499
239	1418	4491
240	1423	4482
241	1428	4475
242	1434	4468
243	1439	4460
244	1445	4453
245	1450	4447
246	1455	4438
247	1461	4430
248	1466	4422
249	1471	4414
250	1476	4406
251	1482	4399
252	1487	4391
253	1492	4384
254	1498	4376
255	1503	4370
256	1509	4363
257	1514	4356
258	1520	4349
259	1525	4342
260	1530	4334
261	1536	4327
262	1542	4321
263	1547	4314
264	1553	4307
265	1558	4300
266	1563	4293
267	1569	4286
268	1574	4278
269	1580	4272
270	1585	4265
271	1590	4258
272	1596	4251
273	1602	4244
274	1607	4238
275	1613	4231
276	1618	4225
277	1624	4218
278	1629	4211
279	1635	4205
280	1641	4199
281	1646	4192
282	1652	4186
283	1657	4179
284	1662	4172
285	1668	4166
286	1675	4161
287	1681	4156
288	1686	4149
289	1692	4142
290	1697	4135
291	1703	4130
292	1708	4123
293	1714	4117
294	1720	4110
295	1725	4104
296	1731	4097
297	1736	4090
298	1741	4083
299	1747	4077
300	1752	4070
301	1758	4064
302	1764	4058
303	1770	4053
304	1776	4047
305	1781	4041
306	1787	4033
307	1791	4026
308	1797	4019
309	1802	4012
310	1807	4005
311	1813	3998
312	1818	3991
313	1824	3984
314	1829	3977
315	1834	3970
316	1839	3963
317	1844	3956
318	1849	3949
319	1854	3941
320	1860	3934
321	1865	3928
322	1871	3921
323	1876	3914
324	1881	3908
325	1886	3900
326	1891	3893
327	1896	3885
328	1902	3879
329	1907	3872
330	1912	3865
331	1917	3858
332	1923	3852
333	1928	3845
334	1933	3838
335	1938	3831
336	1944	3824
337	1949	3817
338	1953	3809
339	1959	3803
340	1964	3797
341	1970	3791
342	1976	3785
343	1981	3778
344	1987	3772
345	1992	3766
346	1998	3759
347	2003	3753
348	2009	3747
349	2014	3741
350	2020	3735
351	2025	3728
352	2030	3721
353	2036	3716
354	2042	3710
355	2047	3704
356	2053	3698
357	2059	3693
358	2065	3687
359	2071	3681
360	2076	3676
361	2083	3671
362	2089	3665
363	2095	3660
364	2101	3655
365	2107	3650
366	2113	3645
367	2119	3640
368	2125	3634
369	2130	3628
370	2136	3622
371	2142	3617
372	2148	3612
373	2154	3606
374	2160	3600
375	2166	3595
376	2172	3590
377	2178	3584
378	2184	3579
379	2190	3573
380	2196	3567
381	2201	3561
382	2207	3556
383	2213	3550
384	2219	3544
385	2225	3539
386	2230	3533
387	2236	3528
388	2242	3522
389	2248	3516
390	2254	3511
391	2259	3505
392	2265	3499
393	2271	3493
394	2277	3488
395	2283	3482
396	2289	3476
397	2294	3470
398	2300	3465
399	2306	3459
400	2312	3454
401	2318	3448
402	2323	3442
403	2329	3436
404	2335	3431
405	2341	3425
406	2346	3419
407	2352	3413
408	2359	3408
409	2364	3403
410	2370	3397
411	2376	3392
412	2383	3387
413	2388	3381
414	2394	3375
415	2399	3369
416	2405	3363
417	2411	3357
418	2416	3351
419	2422	3345
420	2428	3339
421	2433	3332
422	2438	3325
423	2443	3319
424	2448	3312
425	2453	3305
426	2458	3299
427	2463	3292
428	2468	3285
429	2473	3279
430	2478	3272
431	2484	3266
432	2489	3259
433	2494	3253
434	2499	3246
435	2504	3239
436	2509	3233
437	2514	3226
438	2519	3220
439	2525	3213
440	2530	3207
441	2535	3200
442	2541	3195
443	2547	3189
444	2552	3184
445	2558	3178
446	2564	3172
447	2570	3166
448	2575	3160
449	2580	3153
450	2585	3147
451	2590	3140
452	2596	3134
453	2601	3128
454	2606	3121
455	2611	3115
456	2615	3108
457	2621	3101
458	2626	3095
459	2631	3089
460	2636	3083
461	2642	3077
462	2647	3070
463	2652	3064
464	2658	3058
465	2663	3052
466	2669	3046
467	2675	3040
468	2680	3034
469	2685	3028
470	2690	3022
471	2695	3015
472	2701	3009
473	2706	3003
474	2711	2997
475	2717	2991
476	2722	2985
477	2727	2979
478	2733	2972
479	2738	2966
480	2744	2960
481	2749	2954
482	2755	2949
483	2761	2944
484	2767	2938
485	2773	2933
486	2779	2927
487	2784	2921
488	2790	2916
489	2796	2910
490	2802	2905
491	2808	2899
492	2814	2894
493	2820	2888
494	2825	2882
495	2831	2877
496	2837	2871
497	2843	2866
498	2849	2860
499	2854	2854
500	2860	2848
501	2865	2842
502	2871	2837
503	2877	2831
504	2883	2826
505	2890	2821
506	2895	2816
507	2902	2810
508	2907	2804
509	2913	2799
510	2919	2793
511	2925	2788
512	2932	2783
513	2941	2781
514	2951	2779
515	2959	2776
516	2970	2775
517	2979	2772
518	2990	2771
519	2996	2766
520	3003	2761
521	3009	2755
522	3015	2749
523	3021	2745
524	3029	2740
525	3035	2735
526	3041	2729
527	3047	2723
528	3052	2717
529	3058	2711
530	3063	2705
531	3068	2699
532	3073	2693
533	3079	2687
534	3084	2680
535	3089	2674
536	3095	2668
537	3100	2662
538	3105	2656
539	3111	2650
540	3116	2644
541	3121	2637
542	3126	2631
543	3132	2625
544	3137	2619
545	3143	2613
546	3148	2607
547	3153	2601
548	3158	2595
549	3164	2589
550	3169	2583
551	3175	2576
552	3180	2570
553	3186	2565
554	3192	2559
555	3197	2553
556	3202	2547
557	3208	2541
558	3213	2534
559	3218	2528
560	3224	2523
561	3229	2516
562	3235	2511
563	3240	2504
564	3245	2498
565	3250	2492
566	3255	2486
567	3260	2480
568	3265	2473
569	3271	2468
570	3277	2462
571	3282	2456
572	3288	2450
573	3294	2444
574	3299	2439
575	3305	2432
576	3310	2426
577	3316	2421
578	3321	2415
579	3327	2409
580	3333	2404
581	3338	2397
582	3344	2392
583	3349	2386
584	3355	2380
585	3360	2374
586	3366	2368
587	3372	2362
588	3377	2357
589	3383	2351
590	3389	2345
591	3394	2339
592	3400	2334
593	3406	2328
594	3412	2322
595	3418	2316
596	3423	2310
597	3428	2304
598	3433	2298
599	3439	2292
600	3444	2286
601	3450	2280
602	3455	2275
603	3460	2269
604	3466	2263
605	3472	2257
606	3477	2251
607	3482	2245
608	3488	2239
609	3493	2233
610	3499	2227
611	3505	2222
612	3511	2216
613	3516	2210
614	3522	2204
615	3527	2198
616	3533	2193
617	3538	2187
618	3544	2181
619	3550	2176
620	3555	2170
621	3561	2164
622	3567	2158
623	3572	2152
624	3578	2146
625	3583	2141
626	3589	2135
627	3594	2129
628	3600	2123
629	3605	2117
630	3610	2111
631	3616	2105
632	3622	2099
633	3627	2094
634	3633	2088
635	3639	2082
636	3644	2076
637	3650	2071
638	3655	2065
639	3661	2059
640	3666	2053
641	3672	2047
642	3678	2042
643	3683	2036
644	3689	2030
645	3695	2024
646	3701	2019
647	3706	2013
648	3712	2007
649	3717	2001
650	3723	1995
651	3728	1990
652	3734	1984
653	3739	1978
654	3745	1972
655	3750	1966
656	3756	1960
657	3762	1955
658	3767	1949
659	3773	1943
660	3778	1938
661	3784	1932
662	3789	1926
663	3795	1920
664	3801	1915
665	3807	1909
666	3812	1903
667	3818	1897
668	3824	1892
669	3829	1886
670	3834	1880
671	3840	1874
